snomed_code,dx_name,abbreviation,scored
10370003,pacing rhythm,PR,1
111975006,prolonged qt interval,LQT,1
164889003,atrial fibrillation,AF,1
164890007,atrial flutter,AFL,1
164909002,left bundle branch block,LBBB,1
164917005,qwave abnormal,QAb,1
164934002,t wave abnormal,TAb,1
164947007,prolonged pr interval,LPR,1
17338001,ventricular premature beats,VPB,1
251146004,low qrs voltages,LQRSV,1
270492004,1st degree av block,IAVB,1
284470004,premature atrial contraction,PAC,1
39732003,left axis deviation,LAD,1
426177001,sinus bradycardia,SB,1
426627000,bradycardia,Brady,1
426783006,sinus rhythm,NSR,1
427084000,sinus tachycardia,STach,1
427172004,premature ventricular contractions,PVC,1
427393009,sinus arrhythmia,SA,1
445118002,left anterior fascicular block,LAnFB,1
47665007,right axis deviation,RAD,1
59118001,right bundle branch block,RBBB,1
59931005,t wave inversion,TInv,1
63593006,supraventricular premature beats,SVPB,1
698252002,nonspecific intraventricular conduction disorder,NSIVCB,1
713426002,incomplete right bundle branch block,IRBBB,1
713427006,complete right bundle branch block,CRBBB,1
111288001,ventricular flutter,VFL,0
11157007,ventricular bigeminy,VBig,0
13640000,fusion beats,FB,0
164861001,myocardial ischemia,MIs,0
164865005,myocardial infarction,MI,0
164867002,old myocardial infarction,OldMI,0
164873001,left ventricular hypertrophy,LVH,0
164884008,ventricular ectopics,VEB,0
164895002,ventricular tachycardia,VTach,0
164896001,ventricular fibrillation,VF,0
164921003,r wave abnormal,RAb,0
164930006,st interval abnormal,STIAb,0
164931005,st elevation,STE,0
164937009,u wave abnormal,UAb,0
164951009,abnormal QRS,abQRS,0
195042002,2nd degree av block,IIAVB,0
195060002,ventricular pre excitation,VPEx,0
195080001,atrial fibrillation and flutter,AFAFL,0
195101003,wandering atrial pacemaker,WAP,0
195126007,atrial hypertrophy,AH,0
204384007,congenital incomplete atrioventricular heart block,CIAHB,0
233917008,av block,AVB,0
251120003,incomplete left bundle branch block,ILBBB,0
251139008,suspect arm ecg leads reversed,ALR,0
251164006,junctional premature complex,JPC,0
251168009,supraventricular bigeminy,SVB,0
251170000,blocked premature atrial contraction,BPAC,0
251173003,atrial bigeminy,AB,0
251180001,ventricular trigeminy,VTrig,0
251182009,paired ventricular premature complexes,VPVC,0
251200008,indeterminate cardiac axis,ICA,0
251259000,high t-voltage,HTV,0
251266004,ventricular pacing pattern,VPP,0
251268003,atrial pacing pattern,AP,0
253339007,right atrial abnormality,RAAb,0
253352002,left atrial abnormality,LAA,0
266249003,ventricular hypertrophy,VH,0
266257000,transient ischemic attack,TIA,0
27885002,complete heart block,CHB,0
282825002,paroxysmal atrial fibrillation,PAF,0
29320008,atrioventricular junctional rhythm,AVJR,0
314208002,rapid atrial fibrillation,RAF,0
368009,heart valve disorder,HVD,0
370365005,left ventricular strain,LVS,0
413444003,acute myocardial ischemia,AMIs,0
413844008,chronic myocardial ischemia,CMI,0
425419005,inferior ischaemia,IIs,0
425623009,lateral ischaemia,LIs,0
425856008,paroxysmal ventricular tachycardia,PVT,0
426434006,anterior ischemia,AnMIs,0
426648003,junctional tachycardia,JTach,0
426664006,accelerated junctional rhythm,AJR,0
426749004,chronic atrial fibrillation,CAF,0
426761007,supraventricular tachycardia,SVT,0
426995002,junctional escape,JE,0
428417006,early repolarization,ERe,0
428750005,nonspecific st t abnormality,NSSTTA,0
429622005,st depression,STD,0
445211001,left posterior fascicular block,LPFB,0
446358003,right atrial hypertrophy,RAH,0
446813000,left atrial hypertrophy,LAH,0
49260003,idioventricular rhythm,IR,0
49578007,shortened pr interval,SPRI,0
53741008,coronary heart disease,CHD,0
54016002,mobitz type i wenckebach atrioventricular block,MoI,0
54329005,anterior myocardial infarction,AnMI,0
55930002,s t changes,STC,0
57054005,acute myocardial infarction,AMI,0
60423000,sinus node dysfunction,SND,0
6374002,bundle branch block,BBB,0
65778007,sinoatrial block,SAB,0
67198005,paroxysmal supraventricular tachycardia,PSVT,0
67741000119109,left atrial enlargement,LAE,0
698247007,cardiac dysrhythmia,CD,0
704997005,inferior ST segment depression,ISTD,0
713422000,atrial tachycardia,ATach,0
74390002,wolff parkinson white pattern,WPW,0
74615001,brady tachy syndrome,BTS,0
75532003,ventricular escape beat,VEsB,0
77867006,decreased qt interval,SQT,0
81898007,ventricular escape rhythm,VEsR,0
82226007,diffuse intraventricular block,DIB,0
84114007,heart failure,HF,0
89792004,right ventricular hypertrophy,RVH,0
